file,n,maxite,repeat_id,ymin,ymax,stored_bestfun,recovered_final_bestfun,delta_stored_minus_recovered,likely_corrupted
convergence_n1000_maxite50_rep1.png,1000,50,1,792,808,806.246,806.2537,-0.0077,0
convergence_n1000_maxite50_rep10.png,1000,50,10,794,808,708.9932,807.3862,-98.393,1
convergence_n1000_maxite50_rep2.png,1000,50,2,797,807,801.4441,806.2071,-4.763,1
convergence_n1000_maxite50_rep3.png,1000,50,3,785,810,807.0909,807.0849,0.006,0
convergence_n1000_maxite50_rep4.png,1000,50,4,780,810,806.5653,806.5578,0.0075,0
convergence_n1000_maxite50_rep5.png,1000,50,5,785,810,793.6638,806.0121,-12.3483,1
convergence_n1000_maxite50_rep6.png,1000,50,6,785,810,798.9448,806.945,-8.0002,1
convergence_n1000_maxite50_rep7.png,1000,50,7,800,808,799.5899,807.3657,-7.7758,1
convergence_n1000_maxite50_rep8.png,1000,50,8,796,808,806.7794,806.7799,-0.0004,0
convergence_n1000_maxite50_rep9.png,1000,50,9,794,808,805.3785,806.0802,-0.7018,0
